A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,Val,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9584.370117,9590.929688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9590.929688,9768.080078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9768.080078,9719.700195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.700195,9555.259766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9555.259766,9641.179688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9641.179688,9653.919922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9653.919922,9591.519531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9591.519531,9556.650391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9556.650391,9441.030273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9441.030273,9606.820313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9606.820313,9685.769531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9685.769531,9682.209961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9682.209961,9671.959961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9671.959961,9558.69043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9558.69043,9691.839844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9691.839844,9849.740234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9849.740234,10004.200195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10004.200195,9859.200195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9859.200195,9794.379883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9794.379883,9818.759766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9818.759766,9864.259766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864.259766,9716.650391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9716.650391,9648.769531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9648.769531,9558.299805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9558.299805,9567.019531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9567.019531,9662.080078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9662.080078,9620.820313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9620.820313,9607.080078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.080078,9460.629883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9460.629883,9477.169922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9477.169922,9422.879883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9422.879883,9562.049805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9562.049805,9521.94043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9521.94043,9504.969727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9504.969727,9693.730469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9693.730469,9719.610352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.610352,9555.040039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9555.040039,9492.209961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9492.209961,9380.349609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9380.349609,9442.950195
