A0,A1,A2,A3,A4,A5,A6,A7,A8,Val,Target
0.0,0.4160107974594399,0.5839891436762382,0.0,0.0,0.0,0.0,0.0,0.0,10492.379883,10586.019531
0.0,0.36889921530975023,0.6311005487298477,0.0,0.0,0.0,0.0,0.0,0.0,10586.019531,10693.660156
0.0,0.31474403907531506,0.6852560394104477,0.0,0.0,0.0,0.0,0.0,0.0,10693.660156,10505.019531
0.0,0.40965143822863975,0.5903483258109581,0.0,0.0,0.0,0.0,0.0,0.0,10505.019531,10525.19043
0.0,0.39950363160797303,0.6004965847309882,0.0,0.0,0.0,0.0,0.0,0.0,10525.19043,10589.5
0.0,0.36714837906582776,0.6328516209341722,0.0,0.0,0.0,0.0,0.0,0.0,10589.5,10434.379883
0.0,0.4451914015248176,0.5548085396108606,0.0,0.0,0.0,0.0,0.0,0.0,10434.379883,10254.429688
0.0,0.5357267412069674,0.4642731018215072,0.0,0.0,0.0,0.0,0.0,0.0,10254.429688,9620.490234
0.0,0.8546707436415459,0.14532937408709856,0.0,0.0,0.0,0.0,0.0,0.0,9620.490234,8605.150391
0.36550237349914266,0.6344978232183778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8605.150391,9093.719727
0.11969603335739123,0.8803038292925244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9093.719727,8962.669922
0.1856291051292486,0.8143708556278697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8962.669922,9206.75
0.06282907340032809,0.9371709265996719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9206.75,9608.320313
0.0,0.8607936393566433,0.1392065181179961,0.0,0.0,0.0,0.0,0.0,0.0,9608.320313,9449.469727
0.0,0.9407132765253546,0.05928658612456086,0.0,0.0,0.0,0.0,0.0,0.0,9449.469727,9435.009766
0.0,0.9479883029871708,0.0520115792841847,0.0,0.0,0.0,0.0,0.0,0.0,9435.009766,9536.129883
0.0,0.8971134291407749,0.10288651199490333,0.0,0.0,0.0,0.0,0.0,0.0,9536.129883,9478.530273
0.0,0.9260927876608734,0.07390734968921109,0.0,0.0,0.0,0.0,0.0,0.0,9478.530273,9459.080078
0.0,0.9358783523000392,0.06412168694284259,0.0,0.0,0.0,0.0,0.0,0.0,9459.080078,9708.790039
0.0,0.8102457895213238,0.1897542301001162,0.0,0.0,0.0,0.0,0.0,0.0,9708.790039,9755.099609
0.0,0.7869465865167096,0.21305321676577016,0.0,0.0,0.0,0.0,0.0,0.0,9755.099609,9708.389648
